ID,Authors,Year,Title,Source,Theme,Method,PaperType,Algorithm,Key Findings
P01,Aslan et al.,2016,Mapping spatial distribution and biomass of coastal wetland vegetation in Indonesian Papua by combining active and passive remotely sensed data,Remote Sensing of Environment,Remote Sensing (Sentinel/GEDI),"SAR + Multispectral Fusion, Regression",Empirical,"Linear Regression, Band Ratios",Combined SAR and multispectral imagery effectively maps mangrove biomass. Highlighted benefits of multi-sensor fusion in cloudy equatorial regions.
P02,Dubayah et al.,2020,The Global Ecosystem Dynamics Investigation: High-resolution laser ranging of the Earth's forests and topography,Science of Remote Sensing,Remote Sensing (Sentinel/GEDI),LiDAR Instrument Design and Validation,Empirical,Waveform Decomposition,Introduced NASA GEDI as gold standard for canopy height. Noted sparse coverage outside equatorial orbital paths.
P03,Simard et al.,2019,"Mangrove canopy height globally related to precipitation, temperature and cyclone frequency",Nature Geoscience,Remote Sensing (Sentinel/GEDI),"SRTM-based Height Mapping, Statistical Correlation",Empirical,Multiple Regression,Global mangrove height mapping using SRTM. Showed environmental drivers of canopy height.
P04,Pham et al.,2019,Estimating and mapping above-ground biomass of mangrove species using Sentinel-2 and machine learning,GIScience & Remote Sensing,Remote Sensing (Sentinel/GEDI),Sentinel-2 Spectral Indices + ML,Empirical,Random Forest,"Machine learning (Random Forest) effectively maps AGB from Sentinel-2, but lacks 3D structural data for high accuracy."
P05,Fatoyinbo et al.,2008,"Landscape-scale extent, height, biomass, and carbon estimation of Mozambique's eco-region",Remote Sensing of Environment,Remote Sensing (Sentinel/GEDI),"SRTM + Landsat, Allometric Equations",Empirical,Allometric Regression,Early use of SRTM and Landsat for mangrove AGB. Established need for active 3D sensors.
P06,Fayad et al.,2021,Aboveground biomass estimation using GEDI in tropical forests,Remote Sensing,Remote Sensing (Sentinel/GEDI),GEDI Waveform Validation,Empirical,GEDI Algorithm Suite (L4A),Validated GEDI AGB algorithms. Showed high accuracy in dense forests but missing data issues in arid/subtropical fringes.
P07,Melo et al.,2022,Integrating Sentinel-1 and Sentinel-2 for mangrove mapping in arid coastal zones,ISPRS Journal,Remote Sensing (Sentinel/GEDI),Multi-sensor Classification,Empirical,"Support Vector Machine, Random Forest",Arid mangroves (like UAE) have different spectral signatures from tropical ones. Radar VV/VH ratio helps distinguish canopy from wet sand.
P08,Cai et al.,2023,Large-scale mangrove AGB estimation combining GEDI and optical data,International Journal of Applied Earth Observation,Remote Sensing (Sentinel/GEDI),GEDI + Sentinel-2 Fusion,Empirical,"XGBoost, Random Forest","Fusing GEDI and Sentinel-2 improves AGB estimation, but performance drops where GEDI footprints are sparse."
P09,Wang et al.,2018,Assessment of Sentinel-1 and Sentinel-2 data for mangrove forest classification,Remote Sensing,Remote Sensing (Sentinel/GEDI),SAR + Optical Classification,Empirical,Random Forest,Cloud-penetrating SAR (S1) paired with optical (S2) drastically improves classification accuracy in coastal zones.
P10,Tuia et al.,2016,Domain adaptation for the classification of remote sensing data: An overview of recent advances,IEEE Geoscience and Remote Sensing Magazine,Transfer Learning / Imputation,Systematic Review of Domain Adaptation,Review,"Various (SVM, CNN, TCA)",Domain adaptation allows models trained in data-rich areas to apply to data-poor areas.
P11,Lang et al.,2022,Global canopy height regression and uncertainty estimation from GEDI and Sentinel-2 using neural networks,Remote Sensing of Environment,Transfer Learning / Imputation,Neural Regression (GEDI → Sentinel-2),Empirical,Fully Connected Neural Network,Neural networks can impute global canopy height continuously by learning the relationship between GEDI (sparse) and Sentinel-2 (dense).
P12,Kussul et al.,2017,Deep learning classification of land cover and crop types using remote sensing data,IEEE Geoscience and Remote Sensing Letters,Transfer Learning / Imputation,Deep Learning Classification,Empirical,"CNN, MLP","Deep learning outperforms RF for remote sensing, but requires large contiguous datasets."
P13,Rolf et al.,2021,A generalizable and accessible approach to machine learning with global satellite imagery,Nature Communications,Transfer Learning / Imputation,Transfer Learning across Biomes,Empirical,MOSAIKS (Random Kitchen Sinks),Transfer learning enables robust spatial prediction models across different biomes.
P14,Zhang et al.,2021,Missing data imputation in remote sensing: A review of deep learning methods,ISPRS Journal,Transfer Learning / Imputation,Systematic Review of Imputation,Review,"Autoencoders, CNN, GAN",Autoencoders and CNNs are highly effective at imputing missing satellite gaps caused by clouds or orbital paths.
P15,Zhao et al.,2023,Transfer learning for mangrove above-ground biomass estimation across regions,Ecological Indicators,Transfer Learning / Imputation,Cross-regional Transfer Learning,Empirical,Fine-tuned DNN,"Models trained on Asian mangroves can be transferred to African mangroves, but require local fine-tuning."
P16,Zhu et al.,2020,Deep learning in remote sensing: A comprehensive review and list of resources,IEEE Geoscience and Remote Sensing Magazine,Transfer Learning / Imputation,Comprehensive Review,Review,"CNN, RNN, GAN, Autoencoder",Highlights the necessity of multimodal data fusion (Radar+Optical+LiDAR) using ANNs.
P17,Kipf & Welling,2017,Semi-supervised classification with graph convolutional networks,ICLR,Graph Neural Networks (GNNs),Graph Convolutional Network Design,Theoretical + Empirical,GCN (Spectral),Introduced standard GCNs. Demonstrated how spatial topology can be leveraged for feature aggregation.
